# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
26.856519	0.065243	0.064570
26.852120	0.065233	0.064570
26.847830	0.065224	0.064570
26.843565	0.065218	0.064570
26.839258	0.065214	0.064570
26.834931	0.065212	0.064570
26.830582	0.065212	0.064570
26.826188	0.065213	0.064570
26.821836	0.065215	0.064570
26.817442	0.065218	0.064570
26.813009	0.065222	0.064570
26.808578	0.065227	0.064570
26.804085	0.065233	0.064570
26.799528	0.065239	0.064570
26.794931	0.065245	0.064570
26.790380	0.065250	0.064570
26.785917	0.065256	0.064570
26.781238	0.065261	0.064570
26.776583	0.065266	0.064570
26.772060	0.065270	0.064570
26.767426	0.065273	0.064570
26.762857	0.065275	0.064570
26.758091	0.065277	0.064570
26.753372	0.065276	0.064570
26.748611	0.065275	0.064570
26.743942	0.065272	0.064570
26.739228	0.065268	0.064570
26.734582	0.065262	0.064570
26.729872	0.065255	0.064570
26.725186	0.065246	0.064570
26.720502	0.065236	0.064570
26.715711	0.065224	0.064570
26.710896	0.065211	0.064570
26.706189	0.065197	0.064570
26.701373	0.065181	0.064570
26.696600	0.065164	0.064570
26.691739	0.065146	0.064570
26.686964	0.065127	0.064570
26.681972	0.065107	0.064570
26.676982	0.065086	0.064570
26.672079	0.065065	0.064570
26.667152	0.065044	0.064570
26.662116	0.065023	0.064570
26.657210	0.065001	0.064570
26.652239	0.064980	0.064570
26.647223	0.064959	0.064570
26.642188	0.064940	0.064570
26.637112	0.064921	0.064570
26.632015	0.064903	0.064570
26.627046	0.064886	0.064570
26.621966	0.064872	0.064570
26.616803	0.064859	0.064570
26.611641	0.064848	0.064570
26.606481	0.064839	0.064570
26.601321	0.064834	0.064570
26.596162	0.064830	0.064570
