in s,C1 in V
-8.780E-08,-1.05078E-03
-8.760E-08,-6.60156E-04
-8.740E-08,-4.64844E-04
-8.720E-08,-4.64844E-04
-8.700E-08,-1.05078E-03
-8.680E-08,-1.83203E-03
-8.660E-08,-1.63672E-03
-8.640E-08,-1.63672E-03
-8.620E-08,-1.05078E-03
-8.600E-08,-6.60156E-04
-8.580E-08,-1.24609E-03
-8.560E-08,-1.83203E-03
-8.540E-08,-1.44141E-03
-8.520E-08,-1.24609E-03
-8.500E-08,-1.44141E-03
-8.480E-08,-1.44141E-03
-8.460E-08,-1.63672E-03
-8.440E-08,-1.44141E-03
-8.420E-08,-2.02734E-03
-8.400E-08,-1.05078E-03
-8.380E-08,-6.60156E-04
-8.360E-08,-7.42188E-05
-8.340E-08,-2.69531E-04
-8.320E-08,-1.05078E-03
-8.300E-08,-1.24609E-03
-8.280E-08,-6.60156E-04
-8.260E-08,1.09766E-03
-8.240E-08,4.02734E-03
-8.220E-08,8.51953E-03
-8.200E-08,1.86758E-02
-8.180E-08,3.66445E-02
-8.160E-08,5.87148E-02
-8.140E-08,7.78555E-02
-8.120E-08,8.66445E-02
-8.100E-08,8.56680E-02
-8.080E-08,8.01992E-02
-8.060E-08,7.19961E-02
-8.040E-08,6.43789E-02
-8.020E-08,5.73477E-02
-8.000E-08,5.16836E-02
-7.980E-08,4.58242E-02
-7.960E-08,4.13320E-02
-7.940E-08,3.68398E-02
-7.920E-08,3.33242E-02
-7.900E-08,2.86367E-02
-7.880E-08,2.47305E-02
-7.860E-08,2.14102E-02
-7.840E-08,1.96523E-02
-7.820E-08,1.73086E-02
-7.800E-08,1.57461E-02
-7.780E-08,1.32070E-02
-7.760E-08,1.06680E-02
-7.740E-08,8.71484E-03
-7.720E-08,6.56641E-03
-7.700E-08,5.00391E-03
-7.680E-08,3.05078E-03
-7.660E-08,-2.69531E-04
-7.640E-08,-5.34766E-03
-7.620E-08,-1.02305E-02
-7.600E-08,-1.21836E-02
-7.580E-08,-1.23789E-02
-7.560E-08,-1.15977E-02
-7.540E-08,-1.08164E-02
-7.520E-08,-9.25391E-03
-7.500E-08,-7.69141E-03
